Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2016,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.26
2017,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.22
2018,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.2
2019,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.18
2020,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.16
2021,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.16
2022,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.12
2023,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2000,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.4
2001,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.2
2002,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.0
2003,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.92
2004,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.82
2005,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.73
2006,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.64
2007,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.59
2008,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.54
2009,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.49
2010,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.44
2011,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.39
2012,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.34
2013,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.3
2014,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.28
2015,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.24
2016,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.22
2017,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.19
2018,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.18
2019,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.16
2020,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.14
2021,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.14
2022,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2023,SH_HIV_INCD,231,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.093
2000,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.66
2001,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.57
2002,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.49
2003,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.44
2004,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.4
2005,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.35
2006,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.31
2007,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.27
2008,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.25
2009,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.22
2010,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.19
2011,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.17
2012,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.15
2013,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.14
2014,SH_HIV_INCD,231,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.12
