Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.69792
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.6537
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.66302
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.78313
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.78108
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.91373
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.90843
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.95983
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.9701
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,1.01573
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.98462
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.95966
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,1.04272
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,1.0324
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,1.00021
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.90577
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.90827
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.89222
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.08193
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.14043
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.11984
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.21622
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.22356
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.19872
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.21141
