Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,25.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,17.4
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,21.4
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,9.4
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,22.7
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,12.3
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,12.0
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,14.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,5.6
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,U,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,5.1
