Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,315.7
2001,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,298.0
2002,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,282.0
2003,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,269.5
2004,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,261.4
2005,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,255.2
2006,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,250.5
2007,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,246.8
2008,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,244.0
2009,A,3,229.5,158.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,241.7
