Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2019,TM_TAX_DMFN,231,AGG_TXT,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.77373
2020,TM_TAX_DMFN,231,AGG_TXT,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.71332
2021,TM_TAX_DMFN,231,AGG_TXT,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.71333
2022,TM_TAX_DMFN,231,AGG_TXT,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.71547
2023,TM_TAX_DMFN,231,AGG_TXT,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",8.7146
2000,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.89033
2005,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.41291
2010,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.18305
2011,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.18237
2012,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.14301
