Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.24306
2017,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.24306
2018,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.2431
2019,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.2413
2020,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.24286
2021,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.26095
2022,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.28229
2023,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.30216
2000,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5978
2005,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5883
2010,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5779
2015,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5271
2016,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.422
2017,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.4187
2018,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.4186
2019,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.41863
2020,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.41843
2021,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.41782
2022,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.42106
2023,A,0,IMF Annual Report 2023,SG_INT_VRTDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.42201
2000,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5291
2005,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5236
2010,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5208
2015,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5181
2016,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5181
2017,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5181
2018,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5181
2019,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5181
2020,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5181
2021,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2022,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2023,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2005,A,0,Report of the Security Council (A/60/2),SG_INT_VRTDEV,12,IO_UNSC,PT,2024-05-07T00:00:00,2005,6.6667
