Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2005,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.84231
2006,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.82933
2007,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.81752
2008,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.80564
2009,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.79382
2010,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.78254
2011,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.77015
2012,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.75816
2013,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.74775
2014,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.73739
2015,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.72679
2016,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.71505
2017,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.70322
2018,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.69218
2019,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.68157
2020,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.67091
2021,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.66053
2022,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.62025
2023,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.59121
2000,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00023
2001,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00022
2002,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00018
2003,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00014
2004,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00014
2005,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00013
2006,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00013
2007,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00016
2008,EN_MAT_DOMCMPC,231,MF14,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.0002
