Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,556.1
2010,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,569.9
2011,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,578.3
2012,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,582.9
2013,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,584.4
2014,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,584.1
2015,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,583.7
2016,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,582.7
2017,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,580.8
2018,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,578.1
2019,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,575.4
2020,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,574.2
2021,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,576.2
2022,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,582.3
2023,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,595.2
