Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2012,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.081
2013,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.019
2014,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.303
2015,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.306
2016,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.274
2017,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.376
2018,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.403
2019,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.138
2020,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.906
2021,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.772
2022,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.689
