Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2020,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.4
2021,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.1
2022,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.1
2023,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.1
2024,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.1
2000,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7457.1
2001,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7474.8
2002,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7494.1
2003,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7507.7
2004,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7494.0
2005,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7467.7
2006,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7420.6
2007,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7325.4
2008,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7196.8
2009,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",7041.1
