Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2021,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",44.0
2022,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",42.4
2023,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",41.0
2000,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",276992.0
2001,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",270767.0
2002,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",264170.0
2003,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",256165.0
2004,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",247948.0
2005,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",240405.0
2006,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",231716.0
2007,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",222192.0
2008,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",212795.0
