Year,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,CUST_BREAKDOWN_LB,Value
2000,ER_MTN_GRNCOV,231,C02,LC_GRS,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,336.8
2005,ER_MTN_GRNCOV,231,C02,LC_GRS,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,338.0
2010,ER_MTN_GRNCOV,231,C02,LC_GRS,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,336.5
2015,ER_MTN_GRNCOV,231,C02,LC_GRS,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,335.1
2018,ER_MTN_GRNCOV,231,C02,LC_GRS,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,332.4
2021,ER_MTN_GRNCOV,231,C02,LC_GRS,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,330.5
2000,ER_MTN_GRNCOV,231,C02,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2005,ER_MTN_GRNCOV,231,C02,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2010,ER_MTN_GRNCOV,231,C02,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2015,ER_MTN_GRNCOV,231,C02,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2018,ER_MTN_GRNCOV,231,C02,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.5
2021,ER_MTN_GRNCOV,231,C02,LC_IWB,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.7
2000,ER_MTN_GRNCOV,231,C02,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,377.2
2005,ER_MTN_GRNCOV,231,C02,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,377.1
2010,ER_MTN_GRNCOV,231,C02,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,377.0
2015,ER_MTN_GRNCOV,231,C02,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,376.7
2018,ER_MTN_GRNCOV,231,C02,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,376.5
2021,ER_MTN_GRNCOV,231,C02,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,376.3
2000,ER_MTN_GRNCOV,231,C02,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2005,ER_MTN_GRNCOV,231,C02,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2010,ER_MTN_GRNCOV,231,C02,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2015,ER_MTN_GRNCOV,231,C02,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2018,ER_MTN_GRNCOV,231,C02,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2021,ER_MTN_GRNCOV,231,C02,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2000,ER_MTN_GRNCOV,231,C02,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2005,ER_MTN_GRNCOV,231,C02,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2010,ER_MTN_GRNCOV,231,C02,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2015,ER_MTN_GRNCOV,231,C02,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2018,ER_MTN_GRNCOV,231,C02,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.1
2021,ER_MTN_GRNCOV,231,C02,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2000,ER_MTN_GRNCOV,231,C02,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.9
2005,ER_MTN_GRNCOV,231,C02,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,1.2
2010,ER_MTN_GRNCOV,231,C02,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,1.1
2015,ER_MTN_GRNCOV,231,C02,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,1.1
2018,ER_MTN_GRNCOV,231,C02,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.8
2021,ER_MTN_GRNCOV,231,C02,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.6
2000,ER_MTN_GRNCOV,231,C02,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2005,ER_MTN_GRNCOV,231,C02,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2010,ER_MTN_GRNCOV,231,C02,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2015,ER_MTN_GRNCOV,231,C02,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2018,ER_MTN_GRNCOV,231,C02,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2021,ER_MTN_GRNCOV,231,C02,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2000,ER_MTN_GRNCOV,231,C02,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2005,ER_MTN_GRNCOV,231,C02,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2010,ER_MTN_GRNCOV,231,C02,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2015,ER_MTN_GRNCOV,231,C02,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2018,ER_MTN_GRNCOV,231,C02,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2021,ER_MTN_GRNCOV,231,C02,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.0
2000,ER_MTN_GRNCOV,231,C02,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.7
2005,ER_MTN_GRNCOV,231,C02,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,25.3
2010,ER_MTN_GRNCOV,231,C02,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,26.0
2015,ER_MTN_GRNCOV,231,C02,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,26.0
2018,ER_MTN_GRNCOV,231,C02,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,26.2
2021,ER_MTN_GRNCOV,231,C02,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,26.4
2000,ER_MTN_GRNCOV,231,C03,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,511.7
