Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.38698
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.41032
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.42451
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.4296
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.42609
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.41413
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.39411
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.36628
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.4101
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,48.40426
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,48.80699
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,49.20973
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,49.61246
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,50.0152
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,50.41793
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,R,PT,2023-09-12T00:00:00,2022,50.82066
