Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q4,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.1851
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q4,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.57523
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q4,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.43892
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q5,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.00695
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q5,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.0
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q5,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,0.89865
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q5,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.28749
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q5,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.28635
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q5,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.46769
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.02716
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.0297
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.2541
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.1762
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.40038
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.38347
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q1,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.06893
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q1,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.12602
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q1,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.46512
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q1,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.25258
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q1,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.64705
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q1,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.48846
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q2,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.03762
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q2,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.01307
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q2,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.34889
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q2,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.21414
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q2,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.51458
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q2,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.47176
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q3,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.04204
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q3,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.03837
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q3,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.19817
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q3,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.2304
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q3,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.55569
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q3,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.50489
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q4,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.01106
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q4,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.02269
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q4,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.28076
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q4,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.18152
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q4,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.38946
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q4,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.40957
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q5,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.00901
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q5,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.00395
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,U,Q5,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.18772
